"Symbol","Description","Category2","GICS Sector","Market cap","Market Cap Weight","Index Weight","Dividend yield","Country","Action"
"UNH","Unitedhealth Group Inc","Common stocks","Health Care","$480,421,913,683","5.11%","11.34%","1.20%","USA","Analyze"
"GS","Goldman Sachs Group Inc","Common stocks","Financials","$103,079,250,182","1.10%","6.86%","2.80%","USA","Analyze"
"HD","Home Depot Inc","Common stocks","Consumer Discretionary","$277,368,442,466","2.95%","5.90%","2.69%","USA","Analyze"
"MCD","Mcdonalds Corp","Common stocks","Consumer Discretionary","$180,949,662,802","1.92%","5.43%","2.23%","USA","Analyze"
"MSFT","Microsoft Corp","Common stocks","Information Technology","$1,774,381,634,186","18.87%","5.28%","1.04%","USA","Analyze"
"AMGN","Amgen Inc","Common stocks","Health Care","$121,413,255,025","1.29%","4.99%","3.30%","USA","Analyze"
"V","Visa Inc Class A","Common stocks","Information Technology","$300,777,295,014","3.20%","4.07%","0.81%","USA","Analyze"
"HON","Honeywell International Inc","Common stocks","Industrials","$115,457,389,287","1.23%","3.80%","2.27%","USA","Analyze"
"CAT","Caterpillar Inc","Common stocks","Industrials","$86,703,797,646","0.92%","3.74%","2.73%","USA","Analyze"
"JNJ","Johnson & Johnson","Common stocks","Health Care","$438,336,872,094","4.66%","3.64%","2.60%","USA","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Financials","$36,897,443,742","0.39%","3.44%","2.31%","USA","Analyze"
"CVX","Chevron Corp","Common stocks","Energy","$284,446,044,025","3.03%","3.39%","3.82%","USA","Analyze"
"AAPL","Apple Inc","Common stocks","Information Technology","$2,417,523,223,360","25.71%","3.35%","0.60%","USA","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Information Technology","$147,010,000,000","1.56%","3.29%","0.00%","USA","Analyze"
"AXP","American Express","Common stocks","Financials","$105,159,624,885","1.12%","3.13%","1.35%","USA","Analyze"
"BA","Boeing","Common stocks","Industrials","$77,943,654,043","0.83%","3.04%","0.00%","USA","Analyze"
"PG","Procter & Gamble","Common stocks","Consumer Staples","$323,426,017,871","3.44%","2.98%","2.61%","USA","Analyze"
"WMT","Walmart Stores Inc","Common stocks","Consumer Staples","$353,013,786,086","3.75%","2.92%","1.70%","USA","Analyze"
"IBM","International Business Machines Co","Common stocks","Information Technology","$110,829,261,117","1.18%","2.75%","5.27%","USA","Analyze"
"MMM","3M","Common stocks","Industrials","$64,359,547,825","0.68%","2.50%","5.19%","USA","Analyze"
"JPM","JP Morgan Chase & Co","Common stocks","Financials","$320,060,950,645","3.40%","2.44%","3.65%","USA","Analyze"
"DIS","Walt Disney","Common stocks","Communication Services","$181,394,248,812","1.93%","2.24%","0.00%","USA","Analyze"
"NKE","Nike Inc Class B","Common stocks","Consumer Discretionary","$122,599,580,394","1.30%","2.16%","1.25%","USA","Analyze"
"MRK","Merck & Co Inc","Common stocks","Health Care","$219,838,024,949","2.34%","1.92%","3.14%","USA","Analyze"
"KO","Coca-Cola","Common stocks","Consumer Staples","$253,423,269,596","2.70%","1.30%","2.94%","USA","Analyze"
"DOW","Dow Inc.","Common stocks","Materials","$31,527,552,240","0.34%","0.98%","6.26%","USA","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Information Technology","$167,065,603,830","1.78%","0.90%","3.67%","USA","Analyze"
"VZ","Verizon Communications Inc","Common stocks","Communication Services","$165,972,723,996","1.77%","0.87%","7.92%","USA","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Consumer Staples","$28,373,545,852","0.30%","0.73%","5.73%","USA","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Information Technology","$112,997,120,000","1.20%","0.62%","5.17%","USA","Analyze"